PROVINCE,LOCATION,YEAR,SITE_NAME,SITE_TYPE,LONGITUDE,LATITUDE,VARIABLE,VALUE,UNIT,COLOR
Northwest Territories,arctic,2000,HORNADAY RIVER BELOW UNNAMED EASTERN TRIBUTARY,RIVER/RIVIÈRE,-122.4022,68.7542,pH,7.9825,PH,#1f77b4
Northwest Territories,arctic,2000,HORNADAY RIVER BELOW UNNAMED EASTERN TRIBUTARY,RIVER/RIVIÈRE,-122.4022,68.7542,Dissolved Phosphorus,0.007,mg/L,#1f77b4
Northwest Territories,arctic,2000,HORNADAY RIVER BELOW UNNAMED EASTERN TRIBUTARY,RIVER/RIVIÈRE,-122.4022,68.7542,Dissolved Sulphate,10.05,mg/L,#1f77b4
Northwest Territories,arctic,2000,HORNADAY RIVER BELOW UNNAMED EASTERN TRIBUTARY,RIVER/RIVIÈRE,-122.4022,68.7542,Water Temperature,6.95,°C,#1f77b4
Northwest Territories,arctic,2002,HORNADAY RIVER BELOW UNNAMED EASTERN TRIBUTARY,RIVER/RIVIÈRE,-122.4022,68.7542,pH,7.855,PH,#1f77b4
Northwest Territories,arctic,2002,HORNADAY RIVER BELOW UNNAMED EASTERN TRIBUTARY,RIVER/RIVIÈRE,-122.4022,68.7542,Dissolved Phosphorus,0.04,mg/L,#1f77b4
Northwest Territories,arctic,2002,HORNADAY RIVER BELOW UNNAMED EASTERN TRIBUTARY,RIVER/RIVIÈRE,-122.4022,68.7542,Dissolved Sulphate,9.0,mg/L,#1f77b4
Northwest Territories,arctic,2002,HORNADAY RIVER BELOW UNNAMED EASTERN TRIBUTARY,RIVER/RIVIÈRE,-122.4022,68.7542,Water Temperature,5.95,°C,#1f77b4
Northwest Territories,arctic,2003,HORNADAY RIVER BELOW UNNAMED EASTERN TRIBUTARY,RIVER/RIVIÈRE,-122.4022,68.7542,pH,8.176666666666666,PH,#1f77b4
Northwest Territories,arctic,2003,HORNADAY RIVER BELOW UNNAMED EASTERN TRIBUTARY,RIVER/RIVIÈRE,-122.4022,68.7542,Dissolved Phosphorus,0.004,mg/L,#1f77b4
Northwest Territories,arctic,2003,HORNADAY RIVER BELOW UNNAMED EASTERN TRIBUTARY,RIVER/RIVIÈRE,-122.4022,68.7542,Dissolved Sulphate,4.57,mg/L,#1f77b4
Northwest Territories,arctic,2003,HORNADAY RIVER BELOW UNNAMED EASTERN TRIBUTARY,RIVER/RIVIÈRE,-122.4022,68.7542,Water Temperature,6.6000000000000005,°C,#1f77b4
Northwest Territories,arctic,2004,HORNADAY RIVER BELOW UNNAMED EASTERN TRIBUTARY,RIVER/RIVIÈRE,-122.4022,68.7542,pH,7.626666666666666,PH,#1f77b4
Northwest Territories,arctic,2004,HORNADAY RIVER BELOW UNNAMED EASTERN TRIBUTARY,RIVER/RIVIÈRE,-122.4022,68.7542,Dissolved Phosphorus,0.01,mg/L,#1f77b4
Northwest Territories,arctic,2004,HORNADAY RIVER BELOW UNNAMED EASTERN TRIBUTARY,RIVER/RIVIÈRE,-122.4022,68.7542,Dissolved Sulphate,6.043333333333333,mg/L,#1f77b4
Northwest Territories,arctic,2004,HORNADAY RIVER BELOW UNNAMED EASTERN TRIBUTARY,RIVER/RIVIÈRE,-122.4022,68.7542,Water Temperature,7.633333333333333,°C,#1f77b4
Northwest Territories,arctic,2005,HORNADAY RIVER BELOW UNNAMED EASTERN TRIBUTARY,RIVER/RIVIÈRE,-122.4022,68.7542,Dissolved Oxygen,10.4,mg/L,#1f77b4
Northwest Territories,arctic,2005,HORNADAY RIVER BELOW UNNAMED EASTERN TRIBUTARY,RIVER/RIVIÈRE,-122.4022,68.7542,pH,8.25,PH,#1f77b4
Northwest Territories,arctic,2005,HORNADAY RIVER BELOW UNNAMED EASTERN TRIBUTARY,RIVER/RIVIÈRE,-122.4022,68.7542,pH,8.0,PH,#1f77b4
Northwest Territories,arctic,2005,HORNADAY RIVER BELOW UNNAMED EASTERN TRIBUTARY,RIVER/RIVIÈRE,-122.4022,68.7542,Dissolved Phosphorus,0.01,mg/L,#1f77b4
Northwest Territories,arctic,2005,HORNADAY RIVER BELOW UNNAMED EASTERN TRIBUTARY,RIVER/RIVIÈRE,-122.4022,68.7542,Dissolved Sulphate,7.825,mg/L,#1f77b4
Northwest Territories,arctic,2005,HORNADAY RIVER BELOW UNNAMED EASTERN TRIBUTARY,RIVER/RIVIÈRE,-122.4022,68.7542,Water Temperature,5.65,°C,#1f77b4
Northwest Territories,arctic,2006,HORNADAY RIVER BELOW UNNAMED EASTERN TRIBUTARY,RIVER/RIVIÈRE,-122.4022,68.7542,pH,8.343333333333334,PH,#1f77b4
Northwest Territories,arctic,2006,HORNADAY RIVER BELOW UNNAMED EASTERN TRIBUTARY,RIVER/RIVIÈRE,-122.4022,68.7542,pH,8.45,PH,#1f77b4
Northwest Territories,arctic,2006,HORNADAY RIVER BELOW UNNAMED EASTERN TRIBUTARY,RIVER/RIVIÈRE,-122.4022,68.7542,Dissolved Phosphorus,0.01,mg/L,#1f77b4
Northwest Territories,arctic,2006,HORNADAY RIVER BELOW UNNAMED EASTERN TRIBUTARY,RIVER/RIVIÈRE,-122.4022,68.7542,Dissolved Sulphate,8.346666666666666,mg/L,#1f77b4
Northwest Territories,arctic,2006,HORNADAY RIVER BELOW UNNAMED EASTERN TRIBUTARY,RIVER/RIVIÈRE,-122.4022,68.7542,Water Temperature,12.0,°C,#1f77b4
Northwest Territories,arctic,2007,HORNADAY RIVER BELOW UNNAMED EASTERN TRIBUTARY,RIVER/RIVIÈRE,-122.4022,68.7542,pH,8.16,PH,#1f77b4
Northwest Territories,arctic,2007,HORNADAY RIVER BELOW UNNAMED EASTERN TRIBUTARY,RIVER/RIVIÈRE,-122.4022,68.7542,pH,8.605,PH,#1f77b4
Northwest Territories,arctic,2007,HORNADAY RIVER BELOW UNNAMED EASTERN TRIBUTARY,RIVER/RIVIÈRE,-122.4022,68.7542,Dissolved Phosphorus,0.013333333333333334,mg/L,#1f77b4
Northwest Territories,arctic,2007,HORNADAY RIVER BELOW UNNAMED EASTERN TRIBUTARY,RIVER/RIVIÈRE,-122.4022,68.7542,Dissolved Sulphate,5.8500000000000005,mg/L,#1f77b4
Northwest Territories,arctic,2007,HORNADAY RIVER BELOW UNNAMED EASTERN TRIBUTARY,RIVER/RIVIÈRE,-122.4022,68.7542,Water Temperature,9.8,°C,#1f77b4
Northwest Territories,arctic,2008,HORNADAY RIVER BELOW UNNAMED EASTERN TRIBUTARY,RIVER/RIVIÈRE,-122.4022,68.7542,pH,8.226666666666667,PH,#1f77b4
Northwest Territories,arctic,2008,HORNADAY RIVER BELOW UNNAMED EASTERN TRIBUTARY,RIVER/RIVIÈRE,-122.4022,68.7542,pH,8.62,PH,#1f77b4
Northwest Territories,arctic,2008,HORNADAY RIVER BELOW UNNAMED EASTERN TRIBUTARY,RIVER/RIVIÈRE,-122.4022,68.7542,Dissolved Phosphorus,0.01,mg/L,#1f77b4
Northwest Territories,arctic,2008,HORNADAY RIVER BELOW UNNAMED EASTERN TRIBUTARY,RIVER/RIVIÈRE,-122.4022,68.7542,Dissolved Sulphate,5.623333333333332,mg/L,#1f77b4
Northwest Territories,arctic,2008,HORNADAY RIVER BELOW UNNAMED EASTERN TRIBUTARY,RIVER/RIVIÈRE,-122.4022,68.7542,Water Temperature,7.8500000000000005,°C,#1f77b4
Northwest Territories,arctic,2009,HORNADAY RIVER BELOW UNNAMED EASTERN TRIBUTARY,RIVER/RIVIÈRE,-122.4022,68.7542,pH,8.08,PH,#1f77b4
Northwest Territories,arctic,2009,HORNADAY RIVER BELOW UNNAMED EASTERN TRIBUTARY,RIVER/RIVIÈRE,-122.4022,68.7542,pH,9.7,PH,#1f77b4
Northwest Territories,arctic,2009,HORNADAY RIVER BELOW UNNAMED EASTERN TRIBUTARY,RIVER/RIVIÈRE,-122.4022,68.7542,Dissolved Phosphorus,0.01,mg/L,#1f77b4
Northwest Territories,arctic,2009,HORNADAY RIVER BELOW UNNAMED EASTERN TRIBUTARY,RIVER/RIVIÈRE,-122.4022,68.7542,Dissolved Sulphate,7.39,mg/L,#1f77b4
Northwest Territories,arctic,2009,HORNADAY RIVER BELOW UNNAMED EASTERN TRIBUTARY,RIVER/RIVIÈRE,-122.4022,68.7542,Water Temperature,12.4,°C,#1f77b4
Northwest Territories,arctic,2010,HORNADAY RIVER BELOW UNNAMED EASTERN TRIBUTARY,RIVER/RIVIÈRE,-122.4022,68.7542,pH,8.38,PH,#1f77b4
Northwest Territories,arctic,2010,HORNADAY RIVER BELOW UNNAMED EASTERN TRIBUTARY,RIVER/RIVIÈRE,-122.4022,68.7542,pH,9.49,PH,#1f77b4
Northwest Territories,arctic,2010,HORNADAY RIVER BELOW UNNAMED EASTERN TRIBUTARY,RIVER/RIVIÈRE,-122.4022,68.7542,Dissolved Phosphorus,0.01,mg/L,#1f77b4
Northwest Territories,arctic,2010,HORNADAY RIVER BELOW UNNAMED EASTERN TRIBUTARY,RIVER/RIVIÈRE,-122.4022,68.7542,Dissolved Sulphate,8.42,mg/L,#1f77b4
Northwest Territories,arctic,2010,HORNADAY RIVER BELOW UNNAMED EASTERN TRIBUTARY,RIVER/RIVIÈRE,-122.4022,68.7542,Water Temperature,11.9,°C,#1f77b4
Northwest Territories,arctic,2011,HORNADAY RIVER BELOW UNNAMED EASTERN TRIBUTARY,RIVER/RIVIÈRE,-122.4022,68.7542,pH,8.35,PH,#1f77b4
Northwest Territories,arctic,2011,HORNADAY RIVER BELOW UNNAMED EASTERN TRIBUTARY,RIVER/RIVIÈRE,-122.4022,68.7542,pH,8.89,PH,#1f77b4
Northwest Territories,arctic,2011,HORNADAY RIVER BELOW UNNAMED EASTERN TRIBUTARY,RIVER/RIVIÈRE,-122.4022,68.7542,Dissolved Phosphorus,0.01,mg/L,#1f77b4
Northwest Territories,arctic,2011,HORNADAY RIVER BELOW UNNAMED EASTERN TRIBUTARY,RIVER/RIVIÈRE,-122.4022,68.7542,Dissolved Sulphate,9.56,mg/L,#1f77b4
Northwest Territories,arctic,2011,HORNADAY RIVER BELOW UNNAMED EASTERN TRIBUTARY,RIVER/RIVIÈRE,-122.4022,68.7542,Water Temperature,17.1,°C,#1f77b4
Northwest Territories,arctic,2012,HORNADAY RIVER BELOW UNNAMED EASTERN TRIBUTARY,RIVER/RIVIÈRE,-122.4022,68.7542,Dissolved Oxygen,9.84,mg/L,#1f77b4
Northwest Territories,arctic,2012,HORNADAY RIVER BELOW UNNAMED EASTERN TRIBUTARY,RIVER/RIVIÈRE,-122.4022,68.7542,pH,8.37,PH,#1f77b4
Northwest Territories,arctic,2012,HORNADAY RIVER BELOW UNNAMED EASTERN TRIBUTARY,RIVER/RIVIÈRE,-122.4022,68.7542,pH,9.05,PH,#1f77b4
Northwest Territories,arctic,2012,HORNADAY RIVER BELOW UNNAMED EASTERN TRIBUTARY,RIVER/RIVIÈRE,-122.4022,68.7542,Dissolved Sulphate,19.4,mg/L,#1f77b4
Northwest Territories,arctic,2012,HORNADAY RIVER BELOW UNNAMED EASTERN TRIBUTARY,RIVER/RIVIÈRE,-122.4022,68.7542,Water Temperature,11.4,°C,#1f77b4
Northwest Territories,arctic,2013,HORNADAY RIVER BELOW UNNAMED EASTERN TRIBUTARY,RIVER/RIVIÈRE,-122.4022,68.7542,pH,8.33,PH,#1f77b4
Northwest Territories,arctic,2013,HORNADAY RIVER BELOW UNNAMED EASTERN TRIBUTARY,RIVER/RIVIÈRE,-122.4022,68.7542,pH,8.61,PH,#1f77b4
Northwest Territories,arctic,2013,HORNADAY RIVER BELOW UNNAMED EASTERN TRIBUTARY,RIVER/RIVIÈRE,-122.4022,68.7542,Dissolved Phosphorus,0.003,mg/L,#1f77b4
Northwest Territories,arctic,2013,HORNADAY RIVER BELOW UNNAMED EASTERN TRIBUTARY,RIVER/RIVIÈRE,-122.4022,68.7542,Dissolved Sulphate,12.9,mg/L,#1f77b4
Northwest Territories,arctic,2013,HORNADAY RIVER BELOW UNNAMED EASTERN TRIBUTARY,RIVER/RIVIÈRE,-122.4022,68.7542,Water Temperature,17.8,°C,#1f77b4
Northwest Territories,arctic,2016,HORNADAY RIVER BELOW UNNAMED EASTERN TRIBUTARY,RIVER/RIVIÈRE,-122.4022,68.7542,pH,8.41,PH,#1f77b4
Northwest Territories,arctic,2016,HORNADAY RIVER BELOW UNNAMED EASTERN TRIBUTARY,RIVER/RIVIÈRE,-122.4022,68.7542,pH,8.75,PH,#1f77b4
Northwest Territories,arctic,2016,HORNADAY RIVER BELOW UNNAMED EASTERN TRIBUTARY,RIVER/RIVIÈRE,-122.4022,68.7542,Dissolved Phosphorus,0.002,mg/L,#1f77b4
Northwest Territories,arctic,2016,HORNADAY RIVER BELOW UNNAMED EASTERN TRIBUTARY,RIVER/RIVIÈRE,-122.4022,68.7542,Dissolved Sulphate,12.8,mg/L,#1f77b4
Northwest Territories,arctic,2016,HORNADAY RIVER BELOW UNNAMED EASTERN TRIBUTARY,RIVER/RIVIÈRE,-122.4022,68.7542,Water Temperature,9.3,°C,#1f77b4
Northwest Territories,arctic,2000,HORNADAY RIVER ABOVE LITTLE HORNADAY RIVER,RIVER/RIVIÈRE,-121.9633,68.3308,pH,7.733333333333334,PH,#1f77b4
