PROVINCE,VARIABLE,YEAR,UNIT,VALUE
Alberta,Dissolved Oxygen,2000,mg/L,10.402069035947711
Alberta,Dissolved Oxygen,2001,mg/L,10.925247894040657
Alberta,Dissolved Oxygen,2002,mg/L,10.539742072470014
Alberta,Dissolved Oxygen,2003,mg/L,10.522747474747472
Alberta,Dissolved Oxygen,2004,mg/L,10.126393939393939
Alberta,Dissolved Oxygen,2005,mg/L,10.895678282828282
Alberta,Dissolved Oxygen,2006,mg/L,9.82866287878788
Alberta,Dissolved Oxygen,2007,mg/L,10.555309343434343
Alberta,Dissolved Oxygen,2008,mg/L,11.401256313131313
Alberta,Dissolved Oxygen,2009,mg/L,10.466959776334777
Alberta,Dissolved Oxygen,2010,mg/L,10.134280303030303
Alberta,Dissolved Oxygen,2011,mg/L,10.897257218971506
Alberta,Dissolved Oxygen,2012,mg/L,11.04247077922078
Alberta,Dissolved Oxygen,2013,mg/L,10.452924010513296
Alberta,Dissolved Oxygen,2014,mg/L,10.496270743145745
Alberta,Dissolved Oxygen,2015,mg/L,10.599903138528138
Alberta,Dissolved Oxygen,2016,mg/L,10.445399414311177
Alberta,Dissolved Oxygen,2017,mg/L,10.358969421101774
Alberta,Dissolved Oxygen,2018,mg/L,10.360623949579832
Alberta,Dissolved Oxygen,2019,mg/L,10.139400510204082
Alberta,Dissolved Phosphorus,2000,mg/L,0.014503787878787876
Alberta,Dissolved Phosphorus,2001,mg/L,0.009558333333333334
Alberta,Dissolved Phosphorus,2002,mg/L,0.012749007936507935
Alberta,Dissolved Phosphorus,2003,mg/L,0.011331168831168833
Alberta,Dissolved Phosphorus,2004,mg/L,0.00979513888888889
Alberta,Dissolved Phosphorus,2005,mg/L,0.013861111111111112
Alberta,Dissolved Phosphorus,2006,mg/L,0.008217063492063493
Alberta,Dissolved Phosphorus,2007,mg/L,0.02962728729603729
Alberta,Dissolved Phosphorus,2008,mg/L,0.006806051587301588
Alberta,Dissolved Phosphorus,2009,mg/L,0.005945980235042736
Alberta,Dissolved Phosphorus,2010,mg/L,0.007622255799755801
Alberta,Dissolved Phosphorus,2011,mg/L,0.012011724386724387
Alberta,Dissolved Phosphorus,2012,mg/L,0.009206957972582972
Alberta,Dissolved Phosphorus,2013,mg/L,0.00808854166666667
Alberta,Dissolved Phosphorus,2014,mg/L,0.00862584863053613
Alberta,Dissolved Phosphorus,2015,mg/L,0.006358867694805194
Alberta,Dissolved Phosphorus,2016,mg/L,0.00628025152844232
Alberta,Dissolved Phosphorus,2017,mg/L,0.010484380835667599
Alberta,Dissolved Phosphorus,2018,mg/L,0.008719513574660635
Alberta,Dissolved Phosphorus,2019,mg/L,0.00799156462585034
Alberta,Dissolved Sulphate,2000,mg/L,34.81329906204906
Alberta,Dissolved Sulphate,2001,mg/L,33.778120490620495
Alberta,Dissolved Sulphate,2002,mg/L,35.610831529581525
Alberta,Dissolved Sulphate,2003,mg/L,35.00791287878788
Alberta,Dissolved Sulphate,2004,mg/L,31.803636363636357
Alberta,Dissolved Sulphate,2005,mg/L,31.35161826599327
Alberta,Dissolved Sulphate,2006,mg/L,65.64687229437229
Alberta,Dissolved Sulphate,2007,mg/L,40.6550615530303
Alberta,Dissolved Sulphate,2008,mg/L,38.42199032738095
Alberta,Dissolved Sulphate,2009,mg/L,35.00689074814075
Alberta,Dissolved Sulphate,2010,mg/L,49.83417868589744
Alberta,Dissolved Sulphate,2011,mg/L,43.41173949314574
Alberta,Dissolved Sulphate,2012,mg/L,38.97609465187591
Alberta,Dissolved Sulphate,2013,mg/L,37.46925189393939
Alberta,Dissolved Sulphate,2014,mg/L,40.24469494047619
Alberta,Dissolved Sulphate,2015,mg/L,45.1320468073593
Alberta,Dissolved Sulphate,2016,mg/L,43.841318791771094
Alberta,Dissolved Sulphate,2017,mg/L,65.2348189484127
Alberta,Dissolved Sulphate,2018,mg/L,39.55094577297702
Alberta,Dissolved Sulphate,2019,mg/L,61.27375283446712
Alberta,Water Temperature,2000,°C,14.146268983195453
Alberta,Water Temperature,2001,°C,13.73661687843896
Alberta,Water Temperature,2002,°C,14.074097862684821
Alberta,Water Temperature,2003,°C,15.356349206349206
Alberta,Water Temperature,2004,°C,13.091666666666667
Alberta,Water Temperature,2005,°C,13.906989795918369
Alberta,Water Temperature,2006,°C,8.067846677132392
Alberta,Water Temperature,2007,°C,7.376872294372295
Alberta,Water Temperature,2008,°C,6.475107374768089
Alberta,Water Temperature,2009,°C,7.102940765238904
Alberta,Water Temperature,2010,°C,7.351466063698206
Alberta,Water Temperature,2011,°C,6.824698145604396
Alberta,Water Temperature,2012,°C,7.915905032467533
Alberta,Water Temperature,2013,°C,8.081443317099566
Alberta,Water Temperature,2014,°C,7.600737396284271
Alberta,Water Temperature,2015,°C,7.987144886363636
Alberta,Water Temperature,2016,°C,8.077310725426535
Alberta,Water Temperature,2017,°C,6.953678308823529
Alberta,Water Temperature,2018,°C,6.911614939309057
Alberta,Water Temperature,2019,°C,7.179156135531135
Alberta,pH,2000,PH,8.015463564213563
Alberta,pH,2001,PH,8.102541805416804
Alberta,pH,2002,PH,8.102950984552887
Alberta,pH,2003,PH,8.105424513037283
Alberta,pH,2004,PH,8.117702850189263
Alberta,pH,2005,PH,8.171995503288981
Alberta,pH,2006,PH,8.24215905117427
Alberta,pH,2007,PH,8.11201676797201
Alberta,pH,2008,PH,8.169546843296649
Alberta,pH,2009,PH,8.241218928577398
Alberta,pH,2010,PH,8.167089595258393
Alberta,pH,2011,PH,8.1148532041275
Alberta,pH,2012,PH,8.102830791012058
Alberta,pH,2013,PH,8.150979429848357
Alberta,pH,2014,PH,8.087184317139242
Alberta,pH,2015,PH,8.188201290397583
Alberta,pH,2016,PH,8.131681883883157
Alberta,pH,2017,PH,8.072949327895287
Alberta,pH,2018,PH,8.069695728291316
Alberta,pH,2019,PH,7.974105017205017
British Columbia,Dissolved Oxygen,2000,mg/L,10.279166666666667
British Columbia,Dissolved Oxygen,2001,mg/L,11.574376657824933
British Columbia,Dissolved Oxygen,2002,mg/L,11.190826923076923
British Columbia,Dissolved Oxygen,2003,mg/L,10.796492063492062
British Columbia,Dissolved Oxygen,2004,mg/L,10.509813194052326
British Columbia,Dissolved Oxygen,2005,mg/L,10.555094932844932
British Columbia,Dissolved Oxygen,2006,mg/L,11.032505517630518
British Columbia,Dissolved Oxygen,2007,mg/L,10.947636483599217
British Columbia,Dissolved Oxygen,2008,mg/L,10.456359122082631
British Columbia,Dissolved Oxygen,2009,mg/L,10.333413881656845
British Columbia,Dissolved Oxygen,2010,mg/L,10.446972550301368
British Columbia,Dissolved Oxygen,2011,mg/L,11.098125723908165
British Columbia,Dissolved Oxygen,2012,mg/L,10.70378306690085
British Columbia,Dissolved Oxygen,2013,mg/L,10.542868935730667
British Columbia,Dissolved Oxygen,2014,mg/L,10.414981536913382
British Columbia,Dissolved Oxygen,2015,mg/L,10.731042652069386
British Columbia,Dissolved Oxygen,2016,mg/L,10.651580559727476
British Columbia,Dissolved Oxygen,2017,mg/L,10.669427118625904
British Columbia,Dissolved Oxygen,2018,mg/L,10.664354237970812
British Columbia,Dissolved Oxygen,2019,mg/L,10.703997565184892
British Columbia,Dissolved Phosphorus,2000,mg/L,0.012768930708667548
British Columbia,Dissolved Phosphorus,2001,mg/L,0.008866028333867557
British Columbia,Dissolved Phosphorus,2002,mg/L,0.008955505117431588
British Columbia,Dissolved Phosphorus,2003,mg/L,0.007999279985572502
British Columbia,Dissolved Phosphorus,2004,mg/L,0.008061425472112426
